,上價,下價,中價,交易日期,交易量,作物代號,作物名稱,市場代號,市場名稱,平均價,Weekday
12,28.7,18.5,23.7,102.01.09,9173.0,LA1,甘藍-初秋,950,花蓮市,23.6,2
0,25.6,15.6,21.1,102.01.10,61325.0,LA1,甘藍-初秋,104,台北二,20.9,3
1,26.2,16.9,22.3,102.01.10,122874.0,LA1,甘藍-初秋,109,台北一,22.0,3
2,27.0,14.2,19.8,102.01.10,16925.0,LA1,甘藍-初秋,241,三重市,20.1,3
3,21.7,10.0,16.5,102.01.10,3070.0,LA1,甘藍-初秋,338,桃園縣,16.5,3
4,27.5,15.6,20.5,102.01.10,13751.0,LA1,甘藍-初秋,400,台中市,21.3,3
5,25.0,18.0,23.0,102.01.10,17220.0,LA1,甘藍-初秋,514,溪湖鎮,23.0,3
6,34.0,8.0,19.0,102.01.10,2135.0,LA1,甘藍-初秋,540,南投市,18.78,3
7,24.8,12.9,19.7,102.01.10,178680.0,LA1,甘藍-初秋,648,西螺鎮,19.3,3
8,30.7,19.5,23.3,102.01.10,23380.0,LA1,甘藍-初秋,800,高雄市,24.0,3
9,25.8,16.0,19.9,102.01.10,11260.0,LA1,甘藍-初秋,830,鳳山市,20.3,3
10,25.9,13.6,22.7,102.01.10,5885.0,LA1,甘藍-初秋,900,屏東市,21.6,3
11,25.9,15.9,22.6,102.01.10,10546.5,LA1,甘藍-初秋,950,花蓮市,21.8,3
0,28.0,17.8,22.7,102.01.11,59472.0,LA1,甘藍-初秋,104,台北二,22.8,4
1,27.5,18.6,24.0,102.01.11,146990.0,LA1,甘藍-初秋,109,台北一,23.6,4
2,24.8,12.1,19.7,102.01.11,17444.0,LA1,甘藍-初秋,241,三重市,19.2,4
3,25.0,16.0,22.5,102.01.11,1100.0,LA1,甘藍-初秋,338,桃園縣,22.5,4
4,25.9,11.9,19.1,102.01.11,14923.0,LA1,甘藍-初秋,400,台中市,19.3,4
5,26.0,12.0,15.0,102.01.11,20350.0,LA1,甘藍-初秋,512,永靖鄉,15.0,4
6,26.5,18.5,23.5,102.01.11,16890.0,LA1,甘藍-初秋,514,溪湖鎮,23.5,4
7,30.0,7.0,19.0,102.01.11,2187.0,LA1,甘藍-初秋,540,南投市,18.62,4
8,24.7,13.1,19.7,102.01.11,179695.0,LA1,甘藍-初秋,648,西螺鎮,19.4,4
9,30.0,19.5,24.2,102.01.11,23276.0,LA1,甘藍-初秋,800,高雄市,24.4,4
10,25.8,13.0,18.5,102.01.11,11700.0,LA1,甘藍-初秋,830,鳳山市,18.87,4
11,25.0,12.9,21.6,102.01.11,7000.0,LA1,甘藍-初秋,900,屏東市,20.5,4
12,29.8,19.8,25.5,102.01.11,8224.5,LA1,甘藍-初秋,950,花蓮市,25.2,4
0,26.4,14.4,20.9,102.01.12,84866.0,LA1,甘藍-初秋,104,台北二,20.7,5
1,25.6,15.8,20.2,102.01.12,230981.0,LA1,甘藍-初秋,109,台北一,20.4,5
2,24.3,14.0,19.3,102.01.12,19443.0,LA1,甘藍-初秋,241,三重市,19.2,5
3,27.7,14.6,21.0,102.01.12,5905.0,LA1,甘藍-初秋,338,桃園縣,21.0,5
4,25.2,15.3,20.4,102.01.12,16272.0,LA1,甘藍-初秋,400,台中市,20.5,5
5,26.7,18.5,23.5,102.01.12,16380.0,LA1,甘藍-初秋,514,溪湖鎮,23.5,5
6,35.0,15.0,23.0,102.01.12,2427.0,LA1,甘藍-初秋,540,南投市,22.77,5
7,24.7,13.1,19.7,102.01.12,176230.0,LA1,甘藍-初秋,648,西螺鎮,19.4,5
